product_id,product_name,product_category
120,Airmail Envelopes,Office Supplies
121,Smiths Colored Bar Computer Paper,Office Supplies
122,Alto Perma 3000 Stacking Storage Drawers,Office Supplies
123,OIC Bulk Pack Metal Binder Clips,Office Supplies
124,"Artisan Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",Office Supplies
125,Emerson Stylus 1520 Color Inkjet Printer,Technology
126,"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies
127,Alto 3-Hole Punch,Office Supplies
128,"Creator Anti Dust Chalk, 12/Pack",Office Supplies
129,"Adams ""While You Were Out"" Message Pads",Office Supplies
130,Artisan 474 Labels,Office Supplies
131,Smiths Paper Clips,Office Supplies
132,TechSavi Cordless Access Keyboard,Technology
133,Artisan File Folder Labels,Office Supplies
134,Artisan Round Ring Poly Binders,Office Supplies
135,Colored Push Pins,Office Supplies
136,"Steady Colorific Eraseable Coloring Pencils, 12 Count",Office Supplies
137,Smiths File Caddy,Office Supplies
138,"Artisan Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies
139,TechSavi Cordless Keyboard,Technology
140,Smiths Pushpins,Office Supplies
141,Apex Design Stainless Steel Bent Scissors,Office Supplies
142,Col-Erase Pencils with Erasers,Office Supplies
143,Artisan Hole Reinforcements,Office Supplies
144,"Alto Six-Outlet Power Strip, 4 Cord Length",Office Supplies
145,Smiths Bulk Pack Metal Binder Clips,Office Supplies
146,Alliance Rubber Bands,Office Supplies
147,HFX 610 Color Digital Copier / Printer,Technology
